Metabolites,MetaboliteNames,Cancer_Normal_Malignant,Cancer_Tumor_Malignant,Fibroblast_Normal_FGFR2+,Fibroblast_Tumor_FGFR2+,Fibroblast_Normal_ICAM1+,Fibroblast_Tumor_ICAM1+,Fibroblast_Normal_FAP+,Fibroblast_Tumor_FAP+,Fibroblast_Normal_ICAM1-,Fibroblast_Tumor_ICAM1-,Fibroblast_Normal_MFAP5+,Fibroblast_Tumor_MFAP5+,Fibroblast_Normal_CD73+,Fibroblast_Tumor_CD73+,Fibroblast_Normal_DES+,Fibroblast_Tumor_DES+,Macrophage_Normal_THBS1+,Macrophage_Tumor_THBS1+,Macrophage_Normal_VCAN+,Macrophage_Tumor_VCAN+,Macrophage_Normal_MARCO+,Macrophage_Tumor_MARCO+
MAM00001c,"(-)-trans-carveol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00001e,"(-)-trans-carveol",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00002c,"(+)-alpha-pinene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00002e,"(+)-alpha-pinene",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00003c,"(10Z)-heptadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00003l,"(10Z)-heptadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00003r,"(10Z)-heptadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00003e,"(10Z)-heptadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00004c,"(10Z)-heptadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00004m,"(10Z)-heptadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00004r,"(10Z)-heptadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00005c,"(11R)-HPETE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00006c,"(11Z)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00006m,"(11Z)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00006r,"(11Z)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00007c,"(11Z)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00007m,"(11Z)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00007x,"(11Z)-eicosenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00007r,"(11Z)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00008c,"(11Z,14Z)-eicosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00008l,"(11Z,14Z)-eicosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00008r,"(11Z,14Z)-eicosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00008e,"(11Z,14Z)-eicosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00009c,"(11Z,14Z)-eicosadienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00009m,"(11Z,14Z)-eicosadienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00009r,"(11Z,14Z)-eicosadienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00010c,"(11Z,14Z,17Z)-eicosatrienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00010l,"(11Z,14Z,17Z)-eicosatrienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00010r,"(11Z,14Z,17Z)-eicosatrienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00010e,"(11Z,14Z,17Z)-eicosatrienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00011c,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00011m,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00011r,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MAM00012c,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00012m,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00012r,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00013c,"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00014x,"(13E)-tetranor-16-carboxy-LTE4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00015x,"(13E)-tetranor-16-oxo-16-CoA-LTE4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00016c,"(13Z)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00016m,"(13Z)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00016x,"(13Z)-docosenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00016r,"(13Z)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00017c,"(13Z)-eicosenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00017l,"(13Z)-eicosenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00017r,"(13Z)-eicosenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00017e,"(13Z)-eicosenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00018c,"(13Z)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00018m,"(13Z)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00018x,"(13Z)-eicosenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00018r,"(13Z)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00019c,"(13Z)-octadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00019l,"(13Z)-octadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00019r,"(13Z)-octadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00019e,"(13Z)-octadecenoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00020c,"(13Z)-octadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00020m,"(13Z)-octadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00020r,"(13Z)-octadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00021c,"(13Z,16Z)-docosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00021l,"(13Z,16Z)-docosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00021r,"(13Z,16Z)-docosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00021e,"(13Z,16Z)-docosadienoic acid",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00022c,"(13Z,16Z)-docosadienoylcarnitine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00022m,"(13Z,16Z)-docosadienoylcarnitine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00022r,"(13Z,16Z)-docosadienoylcarnitine",1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MAM00023c,"(13Z,16Z)-docosadienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00023m,"(13Z,16Z)-docosadienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00023r,"(13Z,16Z)-docosadienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00024c,"(15Z)-tetracosenoylcarnitine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00024r,"(15Z)-tetracosenoylcarnitine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00025c,"(15Z)-tetracosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00025x,"(15Z)-tetracosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00025r,"(15Z)-tetracosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00026m,"(18E)-20-oxo-20-CoA-LTB4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00026x,"(18E)-20-oxo-20-CoA-LTB4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00027x,"(18E)-20-oxo-20-CoA-LTE4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00028c,"(18R)-HEPE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00030c,"(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00031c,"(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00032c,"(1R,2S)-naphthalene 1,2-oxide",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00032e,"(1R,2S)-naphthalene 1,2-oxide",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00033c,"(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00034c,"(1S,2R)-naphthalene 1,2-oxide",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00035c,"(24R)-24,25-dihydroxycalciol",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00035m,"(24R)-24,25-dihydroxycalciol",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00035e,"(24R)-24,25-dihydroxycalciol",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00036x,"(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MAM00037x,"(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00038c,"(2E)-decenoyl-[ACP]",1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0
MAM00039m,"(2E)-decenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00039x,"(2E)-decenoyl-CoA",1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0
MAM00040c,"(2E)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00040m,"(2E)-docosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00040x,"(2E)-docosenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00041c,"(2E)-dodecenoyl-[ACP]",1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0
MAM00042m,"(2E)-dodecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00042x,"(2E)-dodecenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
MAM00043c,"(2E)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00043m,"(2E)-eicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00043x,"(2E)-eicosenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00044c,"(2E)-heneicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00044m,"(2E)-heneicosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00045c,"(2E)-heptadecenoyl-[ACP]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00046m,"(2E)-heptadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00047c,"(2E)-heptenoyl-[ACP]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00048m,"(2E)-heptenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00049c,"(2E)-hexacosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00049x,"(2E)-hexacosenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00050c,"(2E)-hexadecenoyl-[ACP]",1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0
MAM00051m,"(2E)-hexadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00051x,"(2E)-hexadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00052c,"(2E)-hexenoyl-[ACP]",1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0
MAM00053m,"(2E)-hexenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00053x,"(2E)-hexenoyl-CoA",1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0
MAM00054c,"(2E)-nonadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00054m,"(2E)-nonadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00055c,"(2E)-nonenoyl-[ACP]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00056m,"(2E)-nonenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00057c,"(2E)-octadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00057m,"(2E)-octadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00057x,"(2E)-octadecenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00058c,"(2E)-octenoyl-[ACP]",1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0
MAM00059m,"(2E)-octenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00059x,"(2E)-octenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00060c,"(2E)-pentadecenoyl-[ACP]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00061m,"(2E)-pentadecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00062c,"(2E)-pentenoyl-[ACP]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00063m,"(2E)-pentenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00064c,"(2E)-tetracosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00064x,"(2E)-tetracosenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00065c,"(2E)-tetradecenoyl-[ACP]",1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0
MAM00066m,"(2E)-tetradecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00066x,"(2E)-tetradecenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00067c,"(2E)-tricosenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00068c,"(2E)-tridecenoyl-[ACP]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00069m,"(2E)-tridecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00070c,"(2E)-undecenoyl-[ACP]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00071m,"(2E)-undecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00072m,"(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00072x,"(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00073m,"(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00073x,"(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00074c,"(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00075x,"(2R)-pristanoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0
MAM00076x,"(2R,6R,10R)-trimethyl-hendecanoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAM00077c,"(2R)-pristanic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00077e,"(2R)-pristanic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00077x,"(2R)-pristanic acid",1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0
MAM00078x,"(2S)-pristanoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0
MAM00079x,"(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAM00080x,"(2S,6R,10R)-trimethyl-hendecanoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAM00081m,"(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00081x,"(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00082m,"(3S)-3-hydroxydodec-cis-6-enoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00082x,"(3S)-3-hydroxydodec-cis-6-enoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00083m,"(3S)-3-hydroxylinoleoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00083x,"(3S)-3-hydroxylinoleoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00084m,"(3S)-citramalyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00085c,"(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00086c,"(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00087c,"(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00088m,"(3Z)-dodecenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00088x,"(3Z)-dodecenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00089m,"(3Z,7Z,10Z)-hexadecatrienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00089x,"(3Z,7Z,10Z)-hexadecatrienoyl-CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00090x,"(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAM00091m,"(4Z,7Z,10Z)-hexadecatrienoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00091x,"(4Z,7Z,10Z)-hexadecatrienoyl-CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAM00092c,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00092m,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00092r,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine",1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MAM00093c,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00093m,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00093x,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00093r,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00094c,"(4Z,7Z,10Z,13Z,16Z)-DPA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00094l,"(4Z,7Z,10Z,13Z,16Z)-DPA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00094r,"(4Z,7Z,10Z,13Z,16Z)-DPA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00094e,"(4Z,7Z,10Z,13Z,16Z)-DPA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00095c,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00095m,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00095x,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAM00095r,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
