Genes,GeneShortNames,UsedReactions,Cancer_Normal_Malignant,Cancer_Tumor_Malignant,Fibroblast_Normal_FGFR2+,Fibroblast_Tumor_FGFR2+,Fibroblast_Normal_ICAM1+,Fibroblast_Tumor_ICAM1+,Fibroblast_Normal_FAP+,Fibroblast_Tumor_FAP+,Fibroblast_Normal_ICAM1-,Fibroblast_Tumor_ICAM1-,Fibroblast_Normal_MFAP5+,Fibroblast_Tumor_MFAP5+,Fibroblast_Normal_CD73+,Fibroblast_Tumor_CD73+,Fibroblast_Normal_DES+,Fibroblast_Tumor_DES+,Macrophage_Normal_THBS1+,Macrophage_Tumor_THBS1+,Macrophage_Normal_VCAN+,Macrophage_Tumor_VCAN+,Macrophage_Normal_MARCO+,Macrophage_Tumor_MARCO+
ENSG00000005022,SLC25A5,"MAR06328",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000005075,POLR2J,"MAR07161, MAR07162",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
ENSG00000005187,ACSM3,"MAR00156, MAR00165, MAR00168, MAR00171, MAR00174, MAR00177, MAR00180, MAR00184",71.2410360926263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005339,CREBBP,"MAR09495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005381,MPO,"MAR06813, MAR02061, MAR02062, MAR02063, MAR02076, MAR02077, MAR02078, MAR02088, MAR02089, MAR02099, MAR02100, MAR08752, MAR02531, MAR02694, MAR02696, MAR03141, MAR03145, MAR03148, MAR03152, MAR03263, MAR03391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005421,PON1,"MAR03920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005469,CROT,"MAR00163, MAR03034, MAR00139, MAR04445, MAR04678, MAR04722, MAR05106, MAR06809, MAR06832, MAR06847",71.2410360926263,89.1088006326229,106.930560759148,106.938207890339,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012197,0,142.574081012197,0
ENSG00000005471,ABCB4,"MAR00470, MAR00476, MAR01594, MAR09882, MAR11572, MAR11582, MAR11587, MAR11588, MAR11589, MAR11590, MAR11591, MAR11592, MAR11593, MAR11594, MAR11595, MAR11596, MAR11597, MAR11598, MAR11599, MAR11600, MAR11601, MAR11602, MAR11603, MAR11604, MAR11605, MAR11606, MAR11607, MAR11608, MAR11609, MAR11610, MAR11611, MAR11612, MAR11627, MAR11809",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000005810,MYCBP2,"MAR09491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005882,PDK2,"MAR09517",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,0,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,0,0,0,0,142.574081012197,0
ENSG00000006007,GDE1,"MAR09537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006071,ABCC8,"MAR05433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006530,AGK,"MAR00673, MAR00674, MAR00675, MAR00676, MAR00677, MAR00678",0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.930560759148,0,0,0,0,0,0,0
ENSG00000006534,ALDH3B1,"MAR04283, MAR01568, MAR08503, MAR04841, MAR04431, MAR04683, MAR04685, MAR04686, MAR04687, MAR06748, MAR06749, MAR06753, MAR06754, MAR06760, MAR06761, MAR06766, MAR06767, MAR06790, MAR06791, MAR04842, MAR08775, MAR07035, MAR09569, MAR02188, MAR02189, MAR02192, MAR02195, MAR02196, MAR02197, MAR20016, MAR20017, MAR20037, MAR20038, MAR20039, MAR20040, MAR20041, MAR20042, MAR20043",0,89.1088006326229,0,0,0,0,0,0,0,0,0,0,0,0,106.930560759148,0,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000006625,GGCT,"MAR06971, MAR06972, MAR04708, MAR08770",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000006695,COX10,"MAR05337, MAR20090, MAR20091, MAR20092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006756,ARSD,"MAR02038, MAR00790",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,0,106.930560759148,0,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000006757,PNPLA4,"MAR00003, MAR00665, MAR00667, MAR00668, MAR00669, MAR00670, MAR00671, MAR00672, MAR06636",0,0,0,0,0,0,0,0,0,0,0,0,89.0008927885529,0,0,0,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000007001,UPP2,"MAR04579, MAR04680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007168,PAFAH1B1,"MAR07611, MAR08518",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000007171,NOS2,"MAR03993, MAR04190, MAR02023, MAR20114, RSR00002",71.2410360926263,89.1088006326229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
