"","Malignant cells_N","Malignant cells_T","FGFR2+ fibroblasts_N","FGFR2+ fibroblasts_T","ICAM1- telocytes_N","ICAM1- telocytes_T","FAP+ fibroblasts_N","FAP+ fibroblasts_T","ICAM1+ telocytes_N","ICAM1+ telocytes_T","MFAP5+ myofibroblasts_N","MFAP5+ myofibroblasts_T","CD73+ fibroblasts_N","CD73+ fibroblasts_T","DES+ myofibroblasts_N","DES+ myofibroblasts_T","THBS1+ Macrophage_N","THBS1+ Macrophage_T","VCAN+ Monocyte_N","VCAN+ Monocyte_T","MARCO+ Macrophage_N","MARCO+ Macrophage_T"
"ENSG00000176022",3.58940583958181,9.61601278419095,9.54963020914664,7.07916175891111,16.5890955925854,10.4226820915085,12.7003450572247,14.6001590524196,13.2729014436844,15.7287843998548,9.75613431474228,11.8233267901354,8.70356045271931,4.21134658214563,4.92789446163478,5.62855989220899,11.6458377695047,13.9711943117769,12.6621720267403,14.1373387209887,18.8370737881909,15.2403211355189
"ENSG00000160087",6.41593146241985,17.962759942565,21.1815920442303,14.6638082381618,23.8619679794133,18.5584900996173,26.5546355222533,21.2293487743851,22.5512674460595,19.9631951451429,25.7982293406972,10.4950903464799,20.9599604644009,29.1900053887575,19.9653061469502,19.8756572982261,18.0311350130392,15.9583401610167,15.6769683281483,17.4671717623594,12.2539851549094,18.552576531215
"ENSG00000162572",0.469430999709096,0,0.800040988111438,0.749936565269652,0.799607077168952,0,1.33936369207984,0.972242765928188,1.52797172277755,1.01806205536138,0.111457431378814,0,2.09617596432088,2.54667916202168,0.667336448744416,0.279030142268798,0.164182651484401,0.357752279013397,0.543342322549108,0.0498665919707093,0,0.938959403980159
"ENSG00000197530",24.4235115665698,64.3054718686112,12.3753084622643,8.47214213123852,15.1829794878092,10.8814844451223,10.532664699118,10.8274908925096,12.3326524399185,12.1759613872718,16.2073507995663,6.89559575582326,11.5071760445106,7.02105952441321,12.4911322338479,11.0444181635429,9.94840283659024,7.31963220476417,6.27015673301997,11.5405899737267,0,7.76102127864777
"ENSG00000008130",18.6160861827031,25.1883719589174,11.0221558988224,6.82930025623708,8.59955591082897,12.3772394811753,9.17636358966926,8.56971833877225,8.83217337117144,7.7581424076878,9.85442215021199,10.1647806909334,13.6232702530263,7.95204840626387,10.4763979509176,9.41041067692565,28.232070334276,33.6883783952247,22.2644542780225,21.7757968793686,24.6733758988482,31.0286391869299
"ENSG00000149527",0.654588802891892,0,0,0,0,0,0,0,0.16453430950592,0.370778453025054,0,0,0.0520231299924478,0,0,0,0,0.0378167524362883,0,0,2.72704585676989,0.0473942540582238
"ENSG00000157881",1.11394446828216,7.38925201114013,4.05276809714405,4.125914153963,8.31218787060365,2.83621194286678,4.99689088768338,3.624174718812,8.56207012218311,5.36856282205295,5.31848489679148,3.70943295072754,4.54086609833002,7.1194760215002,7.0287813560423,1.35966094778255,1.71190679694387,2.99964912908666,1.7980177531953,2.807595158894,0,4.03684273265876
"ENSG00000116237",12.9813298671747,8.25175312178147,11.8358193755039,15.6040287741117,19.6312224142382,18.3590614384777,12.0144975473366,20.772412788057,12.9801290934174,14.4169080693874,16.5878595546593,14.2252515615719,13.0953383951354,19.2323550912298,14.8780193188523,25.4086359767349,9.58084861651968,12.5729122385886,1.76073984835729,3.896444364731,18.9327882077745,11.6565722278525
"ENSG00000097021",4.58685801305778,12.7962514562531,7.64221385352105,8.96966679028325,27.6847211099444,9.77543602445688,24.7585607414951,8.8526790467873,25.2426314722636,14.7648507258441,13.1172147810526,12.3001389143146,5.86984573471606,5.80988962558972,20.9091002113653,10.3761982437687,7.1119331681912,13.051972119725,2.7881956391699,2.41374432717137,21.0204227726667,17.4230567351582
"ENSG00000162408",3.74106396703923,5.79946211662074,10.9117682574871,14.6659914560297,11.4772312630498,14.1352723159096,7.88721770523843,9.20251408120091,12.843034724911,8.07881919802293,12.4157099984141,11.7536259328647,10.7338589027243,8.36622542912281,11.5683441949458,11.8369903707607,6.05213226411226,6.73506285998828,3.15407510419305,4.72631945141606,5.0120591525948,6.82331861551246
"ENSG00000074800",68.7911878578426,53.9451638697718,66.4217568800595,76.0818201431489,68.974279339275,67.8912535335001,89.6069350438619,102.307887774989,69.8543624646124,78.017723845383,84.4290692982362,77.4255514699486,66.9803054293817,78.7383401854931,79.8662850759799,113.588736173762,102.7339400798,118.222004129222,99.9620366192374,125.204461013513,140.368986888849,144.78370360642
"ENSG00000131686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000142583",1.28650618863937,0,0.162024131688354,0.216750127780043,0.219680466212826,0,0,1.85357457123756,0.329253057718147,1.10238248409344,0.425404224100392,15.1100194813411,0.472666172525922,1.22492450870071,0,0.9139864536106,2.66575830048716,17.1568512051798,0.483669724795275,2.31526301754851,0,21.4410964369908
"ENSG00000049239",10.8635968476127,7.05063179683966,19.3799517960646,20.6220127976399,22.6212152365237,20.0917933477497,20.629754046774,23.6786741712002,19.4184026213005,22.2555063381233,13.9473100016647,24.7130317338639,20.9708123585051,40.6409052137435,11.3918225538502,17.997092358209,11.3122375278408,11.795360667375,2.49973471518337,5.97412235571532,6.24563310368389,13.6584345197944
"ENSG00000171612",29.2568732002954,26.0678505113916,9.45221708785271,13.2764208437193,12.5723389628019,17.0862883480389,15.2231725592958,22.1455934688463,36.4880156602981,31.9614691532648,11.724268915391,10.7303689017068,6.29222828169783,4.64047094056697,6.38205783129296,4.40404274825887,16.4725211755721,20.2225502768672,34.9366881698668,27.3639630044909,25.1338239082304,22.5094783911651
"ENSG00000171608",0.248408506694022,0,0.651810144557252,0.347613821908992,0.680635257237947,1.82957242437422,1.02536367413615,1.19498255894468,1.58856612980892,1.23980393005902,1.82052410779881,0,0.688518547003956,0,1.482840709769,4.84008994183859,6.03518588123405,5.83421351145397,2.38408097981721,6.89782105671994,2.72704585676989,6.69868737018888
"ENSG00000173614",3.76173743943347,8.65012443323352,5.31182076632365,4.93097493189945,4.74279902603926,9.52384020246854,2.57071165275847,4.40786611590287,3.62560645437791,4.25702056579386,6.77955008614659,5.90218817066446,5.97839123995223,2.50548387533225,4.58528947686125,3.66471719929666,5.61342438304891,5.57883447739277,3.03378459213365,1.96235858702675,2.37095155042278,5.02862491894151
"ENSG00000130939",13.0977666691841,8.68200722903286,9.49650441587156,7.19048580020475,10.8969549365927,18.7190625402901,10.9278623506291,9.26978595901667,15.1613752120305,9.41972383243681,9.80035762965196,7.13143900360165,9.008537490408,10.9857746258627,11.1723263934541,18.6930282988836,8.28092550144323,7.863250477547,5.74185631338326,6.34265055741653,4.54605355566343,8.03088352494522
"ENSG00000142657",1.90760274979131,13.3772197108983,6.80240577274224,7.5516374444267,3.77685293910357,10.3478014809845,6.28604133016402,12.0796086386358,6.40756497838906,5.74302506567194,3.76116973774714,4.89418286142533,8.4300115234686,10.3380718051113,3.11675004140227,7.29555371314318,24.1273495560174,45.3461181471685,18.6123280366492,37.2556547504433,22.0375934524619,64.8574280495695
"ENSG00000116649",16.8344836157114,13.4592835666407,33.0363520705982,36.418355780454,31.3957215080606,41.1286187207398,39.731076684427,52.4592415364452,29.8812682497306,37.2205666273263,32.9430632623461,39.406212128417,48.1434937120713,47.8371930182567,33.3838423676015,37.3634388744876,21.1176937604944,23.0438378700682,22.1322543630315,21.7702957697714,28.6749031221437,30.5418761550422
"ENSG00000120942",3.58814910423632,7.11853858315653,6.22881343919753,6.05488631743458,6.45911998848218,4.43784206054417,14.6834334525814,5.07224837798867,4.69924318026902,6.0622542510871,8.46437077504425,4.59627317062552,5.19473491634147,3.74933684173709,7.01986641613429,5.7983708322352,3.18572745530675,6.44649565810091,5.2091403384094,3.25461410749817,6.7305018632112,5.73917255974065
"ENSG00000177000",21.9361509785153,27.7999711461061,19.4317162784899,18.515910819029,17.2671692946978,21.005732288723,17.435272491809,10.9251283857399,23.3097665504931,17.6990360700318,17.0893819433754,16.2047075097791,19.609249299084,11.3298509382681,8.85102740829449,11.6739092201474,23.1082352570402,29.1757515679978,23.5431859543946,21.2892276866414,35.317046245431,20.1203458361458
"ENSG00000083444",0.451743542337901,8.03289210502054,21.1900051007191,29.3224389649541,31.7318158506561,24.8946776176428,17.2018228668588,33.7592990659419,23.2802342164667,30.2766709397372,16.0819699781577,20.638116046892,13.5751209932339,12.2751919241231,11.8463733040207,13.9228141609991,15.0624183611877,20.4374958798111,6.98393285125725,13.0493567850175,13.8506786605331,20.3187997052778
"ENSG00000162496",6.29748759972083,17.1444847695059,12.6490205752669,11.3133834097214,11.2110634119349,12.8995915668697,9.06570246942411,24.7402770192244,5.88336206372736,8.81143085826669,2.00815166483032,14.9501613860616,36.6885162280062,51.78821577979,20.4500643425172,45.4580463754675,34.7451962758594,33.1315893232746,14.2674198582395,16.1178003774089,14.0302473412767,29.5734170162325
"ENSG00000116771",3.87144596292784,3.52272832401805,0.166168157114792,0.112524731154522,0,0.272787733231778,0,0.857395103437886,0.210525178672572,0.685460048545782,0,0,0,3.2678551538558,0,0.159913563001339,0.125906326558108,0.2564823403784,0.937664381611266,0.244125886699554,0,0.256664288931583
"ENSG00000117118",46.363076524035,14.4667935063142,26.2727407645333,23.8488972625904,31.710920467466,27.4492701219398,30.745744389444,24.6546456533462,25.9313404719327,21.9184668795757,35.4568437881628,26.4985234864776,28.7519810419047,27.7525778816794,31.4088486155529,29.8756358438256,39.9429320352265,42.9910134585381,30.3801278319642,32.5827321625268,48.8694851197698,41.9697353647823
"ENSG00000117115",33.1220661721846,29.0783679708569,0,0.315234685091197,0,0,1.09690403151448,0.0730127523361225,0.206664513724293,0,0.152776055418908,1.1628691590092,0.219926784712763,0,0.948417646690553,1.32794653763469,2.33646750343149,7.48994405173059,3.77832548105037,9.89862504918233,8.89376749841245,5.69407472182652
"ENSG00000142619",0,0,0,0,0,0.610700221350187,0,0,0.295491744772069,0.154648581016761,0.107520478268446,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000159339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13668396974843,3.30212672407871,0,0.130905019801629
"ENSG00000159423",6.4631033244529,2.86448478762133,0.815776262864117,0.7266479374397,1.29020660520914,0.46895131646202,0.452464474167857,0.768159573370451,0.85593720048832,1.6268291607045,0.744780251882262,3.44011140104502,0.989178736440387,6.3856281774238,2.88756911009831,0.840280336476231,1.6859890170382,2.29452236137527,0,0.894657662043697,2.9727784531816,2.37364812726012
"ENSG00000127481",55.4302020078082,33.1722762944125,18.9588437090773,19.1000548005026,20.4512672271586,18.354074242659,15.914343661733,19.8522376045876,16.9462601809481,22.8278722511376,24.2260380501239,22.6384969876965,20.1624718582943,13.8669167129797,28.3609725074599,25.1854676239945,18.0443836853354,23.1455262796605,23.0572938284328,33.7548412348719,17.4805728905453,27.4670529298255
"ENSG00000162482",15.9627344800225,14.323348462654,0.975497996303507,0.723330168246522,6.01985514453927,1.19631613898291,0,1.11004798318042,2.21931187868691,1.70954051580023,2.68685818116327,5.51470547265199,0.857021736442029,0.504977614169007,0,0.604313572041633,0.388757046228226,0.353667988872098,0,0.552256487952722,0,0.664925047296599
"ENSG00000053371",40.0276958958049,10.3219822094339,57.5031579243847,54.8671542042366,83.192571248898,61.5722657462334,47.7887187325902,54.1689421214407,53.0955517771719,49.4614290723352,69.2830828152605,50.791849764242,50.6078819873345,48.5058609408398,54.7898983360339,33.2262390753992,21.0664007677484,24.0338346457352,18.4680900517847,19.3070407438877,21.5993129961152,26.315754718376
"ENSG00000188257",72.0939167961002,72.1418541470551,0.494739396423143,4.24331771486997,0.793899712062065,0.665347702896685,2.87196162077142,15.4388226891787,0.681518585582895,3.40250247338013,0.644030141930633,18.0614491515523,28.5506781559389,121.036810015704,2.87726844875017,59.5290030209117,0.347003789057785,3.80885839444275,0,6.45164575968866,2.9727784531816,3.03591364163943
"ENSG00000127472",0,0,0,1.69624807680364,0.267071330089163,0.970273358678998,1.22881411817781,2.87874839330025,0.652748424109373,4.18455362831788,0.445264639080661,2.56828345925797,2.49186534299976,0.481205702331115,17.687521351144,11.5636179673151,0,0,0,0,0,0
"ENSG00000117215",0,0,0,0,0,0,0,0,0,0,0.142301035304194,1.86584171103516,0,0.411842389593158,0,0,18.7307611681811,15.4948885951798,0.796517063020036,0,20.7006521991582,1.99289693876786
"ENSG00000090432",2.82542596730513,3.04868001281398,10.1836442558115,10.9606350237766,13.2742402412295,7.96771561770391,12.0693718356165,9.20692563792271,9.80921408093842,8.91048085197144,13.2721657405403,5.70400413272176,12.2047067430897,10.1731723503114,11.8026564501403,9.32749322314793,7.60084576790685,9.24354515860462,9.00298110976897,5.25276955555309,0,7.5953103948258
"ENSG00000158825",0.451743542337901,7.32902185289937,0.0507251349024389,0.737321663610753,0,0.46895131646202,1.20470098403543,2.69976487351086,0,0.314942111404848,0,0,8.6769735241501,10.1715320079151,0,0,0.227754244223147,7.15110353990116,12.1554910816256,20.2956605977856,0,19.5684337812012
"ENSG00000244038",44.0186036291111,10.0454422193674,48.1615295130082,44.7435913748845,45.9791698424103,43.5590297682097,51.5343274015872,44.1770643320558,43.0712151455426,43.7170198592519,38.2170437309555,37.7758341288761,52.0184343590284,55.7834056912519,33.2375043897358,32.9150587703594,44.7760645667419,44.7712659625099,26.9008354111308,28.1612578943228,48.6855674421302,40.1211365864607
"ENSG00000162551",0,0.925622220322206,2.20335447643664,7.89817956209168,0,1.22067049130492,0.363399211451699,2.58862064570777,0,1.40189017511781,0.819978835314311,2.44160156970441,0.332792223352431,0,0,0,0,0.0445099536924028,0,0.0556240208740481,0,0.0459206676204666
"ENSG00000090686",41.1345725256638,22.9697452760759,24.0223309825575,19.8232742623566,22.2788886459724,11.1639622517847,19.383158978722,17.8257692734825,16.5127980079729,14.7872912840694,23.985439553736,24.7338423168407,26.7870035280625,19.7074371707463,28.5731643562308,18.3482227314767,16.7370592160462,15.4632165944128,19.2154236309069,13.2258541349198,21.6907718875464,17.0868725395779
